id	authors	year	title	journal	doi	pmid	language	languageGroup	country	recordType	recordTypeCode	caseShape	caseCount	caseCountNumeric	accessCode	accessLabel	publicLinkUrl	coConsciousness	amnesia	amnesiaDirectionality	voluntarySwitching	treatmentGoal	outcome	diagnosticDelayYears	psychosisPriorOrDifferential	moodPriorOrDifferential	bpdPriorOrDifferential	childAlters	oppositeSexAlters	nonHumanAlters	bilingualAlters
JPN_030	Kuroda I, Hashimoto M, Sato A, Tachi N, Okuni N, Tashiro H, Hattori H, Hasegawa H, Yamada M, Okuda M	2022	General Anesthesia for a Dissociative Identity Disorder Patient With 20 Personalities: A Case Report	Anesthesia Progress 69(2): 30-34	10.2344/anpr-68-04-04		English	English-language sources	Japan	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.2344/anpr-68-04-04	partial	yes	not_stated	not_stated	safety_or_stabilization	other_described		no	yes	no	yes	yes	no	not_stated
JPN_031	船橋英樹, 金丸杏奈 et al.	2022	出産を契機に人格統合に至った解離性同一性障害の1症例	宮崎県医師会医学会誌 46(2):208-215			Japanese	East Asian languages	Japan	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		partial	yes	asymmetric	no	integration_or_fusion	other_described		yes	no	yes	yes	yes	no	not_stated
JPN_046	Sakae, T.M., Kang, K., Avdeeva, K., Park, M.H., & Misra, V.	2024	Dissociative Identity Disorder Cotreated With Zinc and L-carnosine: A Case Report	Cureus	10.7759/cureus.74794	39737293	English	English-language sources	Japan	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.7759/cureus.74794	not_stated	yes	not_stated	not_stated	other_described	integration_or_partial_integration		no	yes	no	yes	no	no	not_stated
JPN_044	Okano K	2025	A Report of Three Cases With Dissociative Disorder: Some Positive Response to Methylphenidate Extended Release Used for Their Concurrent Attention Deficit Hyperactivity Disorder	Neuropsychopharmacology Reports 45:e70004	10.1002/npr2.70004		English	English-language sources	Japan	Case series	case_series	Small Case Series	3	3	external_link_available	External record link available	https://doi.org/10.1002/npr2.70004	mixed_or_variable	yes	not_stated	not_stated	functioning_or_cooperation	improved_functioning		no	no	no	not_stated	not_stated	not_stated	not_stated
MYS_002	Saifuddin TM, Amilin N, Zafri A	2016	Dissociative Identity Disorder with Depression in a Man with Traumatic Childhood: A Case Report	Malaysian Journal of Psychiatry 25(2)			English	English-language sources	Malaysia	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		not_stated	yes	not_stated	no	other_described	improved_functioning		no	yes	yes	no	yes	no	not_stated
MYS_003	[Authors from University/Hospital Malaysia ? names require full-text verification]	2023	Case Series of Dissociative Identity Disorder in Teenagers: Clinical Features and Treatment Consideration	Malaysian Journal of Psychiatry	10.4103/mjp.mjp_6_23		English	English-language sources	Malaysia	Case series	case_series	Small Case Series	3	3	external_link_available	External record link available	https://journals.lww.com/mjp/fulltext/2023/01000/case_series_of_dissociative_identity_disorder_in.8.aspx	not_stated	uncertain_or_partial	not_stated	not_stated	safety_or_stabilization	integration_or_partial_integration		no	yes	no	yes	uncertain	not_stated	not_stated
MYS_001	Ashikin, N.A.	2025	Unmasking the Mind: A Journey Through Misdiagnosis to the True Identity of Dissociative Identity Disorder	BJPsych Open	10.1192/bjo.2025.10706		English	English-language sources	Malaysia	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1192/bjo.2025.10706	not_stated	yes	not_stated	not_stated	other_described	not_stated		yes	yes	no	not_stated	not_stated	not_stated	not_stated
NLD_001	Merckelbach, H., Crombag, H.	1997	Tocht door de psychotherapeutische wildernis: MPS en iatrogenese	Directieve Therapie, 17(4):271-286			Dutch	European and Latin-script non-English	Netherlands	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://www.directievetherapie.nl/downloads/DT-17-4-271.pdf	not_stated	yes	unclear	yes	not_stated	improved_functioning		no	no	no	yes	yes	yes	not_stated
NLD_002	Van der Hart, O., & Boon, S.	1997	Treatment strategies for complex dissociative disorders: Two Dutch case examples	Dissociation	10.1080/1529768X.1997.10514703		English	English-language sources	Netherlands	Case report	case_report	Two Case Report	2	2	external_link_available	External record link available	https://doi.org/10.1080/1529768X.1997.10514703	mixed_or_variable	yes	unclear	not_stated	integration_or_fusion	integration_or_partial_integration		no	no	no	yes	yes	not_stated	not_stated
NLD_003	Huntjens RJC	2003	Apparent Amnesia: interidentity memory in DID	Dissertation, Utrecht University			English	English-language sources	Netherlands	Case report	case_report	Large Case Series	19	19	restricted_local_source	Restricted local full text on file		not_stated	uncertain_or_partial	one_way	yes	not_stated	not_stated		yes	yes	yes	not_stated	not_stated	not_stated	not_stated
NLD_004	Hauber, K.	2009	Een bijzondere casus (serie): De behandeling van een dissociatieve identiteitsstoornis	Tijdschrift voor Psychotherapie	10.1007/BF03080481		Dutch	European and Latin-script non-English	Netherlands	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1007/BF03080481	yes	yes	unclear	yes	safety_or_stabilization	improved_functioning	6	no	yes	no	yes	yes	not_stated	not_stated
NLD_008	de Jongh A, Abkhezr S, Broers DLM	2009	Een dissocierende patient	Nederlands Tijdschrift voor Tandheelkunde 116:427-431			Dutch	European and Latin-script non-English	Netherlands	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		not_stated	not_stated	not_stated	not_stated	other_described	other_described		no	yes	no	not_stated	not_stated	not_stated	not_stated
NLD_005	van Minnen A, Tibben M	2021	A brief cognitive-behavioural treatment approach for PTSD and Dissociative Identity Disorder, a case report	Journal of Behavior Therapy and Experimental Psychiatry	10.1016/j.jbtep.2021.101655	33848810	English	English-language sources	Netherlands	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1016/j.jbtep.2021.101655	yes	yes	not_stated	partial	integration_or_fusion	other_described		no	yes	no	yes	yes	no	not_stated
NLD_006	van den Ouweland, M., Huntjens, R., & Rijkeboer, M.	2021	Schematherapie bij een cli_nte met een dissociatieve identiteitsstoornis	Casusboek schematherapie (Bohn Stafleu van Loghum)	10.1007/978-90-368-2632-7_4		Dutch	European and Latin-script non-English	Netherlands	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1007/978-90-368-2632-7_4	yes	yes	unclear	not_stated	integration_or_fusion	other_described		no	yes	no	yes	not_stated	no	not_stated
